Date,Combined Price
03/12/2019,0.003140
04/12/2019,0.001770
05/12/2019,0.000710
06/12/2019,0.000560
07/12/2019,0.000380
08/12/2019,0.000330
09/12/2019,0.000390
10/12/2019,0.000290
11/12/2019,0.000250
12/12/2019,0.000270
13/12/2019,0.000280
14/12/2019,0.000260
15/12/2019,0.000220
16/12/2019,0.000220
17/12/2019,0.000190
18/12/2019,0.000150
19/12/2019,0.000160
20/12/2019,0.000110
21/12/2019,0.000130
22/12/2019,0.000090
23/12/2019,0.000130
24/12/2019,0.000120
25/12/2019,0.000120
26/12/2019,0.000120
27/12/2019,0.000100
28/12/2019,0.000100
29/12/2019,0.000140
30/12/2019,0.000090
31/12/2019,0.000070
01/01/2020,0.000080
02/01/2020,0.000080
03/01/2020,0.000070
04/01/2020,0.000070
05/01/2020,0.000060
06/01/2020,0.000060
07/01/2020,0.000070
08/01/2020,0.000090
09/01/2020,0.000090
10/01/2020,0.000090
11/01/2020,0.000100
12/01/2020,0.000100
13/01/2020,0.000100
14/01/2020,0.000100
15/01/2020,0.000110
16/01/2020,0.000100
17/01/2020,0.000100
18/01/2020,0.000100
19/01/2020,0.000100
20/01/2020,0.000100
21/01/2020,0.000110
22/01/2020,0.000110
23/01/2020,0.000110
24/01/2020,0.000110
25/01/2020,0.000120
26/01/2020,0.000120
27/01/2020,0.000140
28/01/2020,0.000140
29/01/2020,0.000160
30/01/2020,0.000160
31/01/2020,0.000170
01/02/2020,0.000190
02/02/2020,0.000240
03/02/2020,0.000300
04/02/2020,0.000370
05/02/2020,0.000400
06/02/2020,0.000460
07/02/2020,0.000450
08/02/2020,0.000440
09/02/2020,0.000400
10/02/2020,0.000400
11/02/2020,0.000360
12/02/2020,0.000360
13/02/2020,0.000370
14/02/2020,0.000350
15/02/2020,0.000350
16/02/2020,0.000310
17/02/2020,0.000270
18/02/2020,0.000260
19/02/2020,0.000300
20/02/2020,0.000290
21/02/2020,0.000290
22/02/2020,0.000300
23/02/2020,0.000320
24/02/2020,0.000320
25/02/2020,0.000310
26/02/2020,0.000290
27/02/2020,0.000260
28/02/2020,0.000260
29/02/2020,0.000260
01/03/2020,0.000240
02/03/2020,0.000240
03/03/2020,0.000260
04/03/2020,0.000250
05/03/2020,0.000250
06/03/2020,0.000250
07/03/2020,0.000260
08/03/2020,0.000260
09/03/2020,0.000220
10/03/2020,0.000230
11/03/2020,0.000250
12/03/2020,0.000250
13/03/2020,0.000170
14/03/2020,0.000280
15/03/2020,0.000250
16/03/2020,0.000300
17/03/2020,0.000310
18/03/2020,0.000380
19/03/2020,0.000380
20/03/2020,0.000430
21/03/2020,0.000460
22/03/2020,0.000490
23/03/2020,0.000450
24/03/2020,0.000500
25/03/2020,0.000510
26/03/2020,0.000480
27/03/2020,0.000490
28/03/2020,0.000450
29/03/2020,0.000460
30/03/2020,0.000430
31/03/2020,0.000460
01/04/2020,0.000460
02/04/2020,0.000480
03/04/2020,0.000500
04/04/2020,0.000490
05/04/2020,0.000500
06/04/2020,0.000500
07/04/2020,0.000590
08/04/2020,0.000580
09/04/2020,0.000590
10/04/2020,0.000590
11/04/2020,0.000570
12/04/2020,0.000570
13/04/2020,0.000570
14/04/2020,0.000550
15/04/2020,0.000590
16/04/2020,0.000570
17/04/2020,0.000690
18/04/2020,0.000730
19/04/2020,0.001420
20/04/2020,0.001600
21/04/2020,0.001890
22/04/2020,0.002470
23/04/2020,0.002820
24/04/2020,0.002500
25/04/2020,0.001930
26/04/2020,0.002740
27/04/2020,0.002800
28/04/2020,0.002680
29/04/2020,0.003110
30/04/2020,0.003460
01/05/2020,0.004200
02/05/2020,0.004620
03/05/2020,0.004820
04/05/2020,0.004410
05/05/2020,0.005260
06/05/2020,0.005510
07/05/2020,0.005630
08/05/2020,0.005510
09/05/2020,0.004920
10/05/2020,0.005810
11/05/2020,0.005660
12/05/2020,0.005600
13/05/2020,0.005740
14/05/2020,0.006190
15/05/2020,0.005830
16/05/2020,0.005730
17/05/2020,0.004970
18/05/2020,0.004650
19/05/2020,0.003470
20/05/2020,0.003980
21/05/2020,0.003570
22/05/2020,0.003680
23/05/2020,0.003850
24/05/2020,0.003880
25/05/2020,0.004120
26/05/2020,0.004530
27/05/2020,0.004710
28/05/2020,0.004850
29/05/2020,0.004870
30/05/2020,0.005040
31/05/2020,0.004550
01/06/2020,0.004780
02/06/2020,0.003630
03/06/2020,0.004140
04/06/2020,0.004140
05/06/2020,0.003870
06/06/2020,0.003390
07/06/2020,0.003410
08/06/2020,0.003040
